title,album,isrc,trackId,url,total_streams,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
i'm an albatraoz tekkno,i'm an albatraoz tekkno,GX8LE2233879,6yoilqMuTLZnvbLtMPHp3e,https://open.spotify.com/track/6yoilqMuTLZnvbLtMPHp3e,96640,0.0,,,0.0,0.0,0.0,0.0
i'm an albatraoz tekkno (sped up),i'm an albatraoz tekkno (sped up),GX8LE2257292,2zDBM91ElUjhYqbNrnv8eC,https://open.spotify.com/track/2zDBM91ElUjhYqbNrnv8eC,35197,0.0,,,0.0,0.0,0.0,0.0
belly dancer tekkno,belly dancer tekkno,GX8LE2288849,7CcXp4kV65tKTnPdc74e82,https://open.spotify.com/track/7CcXp4kV65tKTnPdc74e82,86832,,,,,,,
belly dancer tekkno (sped up),belly dancer tekkno (sped up),GX8LE2291351,5ksolRaafksOYgso79CVDU,https://open.spotify.com/track/5ksolRaafksOYgso79CVDU,16591,,,,,,,
i like that tekkno,i like that tekkno,GX8LE2228314,76tvxGStQks1854iY8V7yi,https://open.spotify.com/track/76tvxGStQks1854iY8V7yi,75033,,,,,,,
i like that tekkno (sped up),i like that tekkno (sped up),GX8LE2211194,7dzuI7Xrlj8kNuzCtuE3eG,https://open.spotify.com/track/7dzuI7Xrlj8kNuzCtuE3eG,9244,,,,,,,
thank you tekkno,thank you tekkno,GX8LE2236985,77hLCXX6MrZPzryvEyOprX,https://open.spotify.com/track/77hLCXX6MrZPzryvEyOprX,163691,,,,,,,
thank you tekkno (sped up),thank you tekkno (sped up),GX8LE2202913,23oygmCYP0PBpQA003Okep,https://open.spotify.com/track/23oygmCYP0PBpQA003Okep,55359,,,,,,,
all around the world (la la la) tekkno,all around the world (la la la) tekkno,GX8LE2221079,5BKrfdZ1PNY3mBps35DJ0x,https://open.spotify.com/track/5BKrfdZ1PNY3mBps35DJ0x,116383,,,,,,,
all around the world (la la la) tekkno (sped up),all around the world (la la la) tekkno (sped up),GX8LE2223440,6P8MJKo2eOErGAftj8wlGy,https://open.spotify.com/track/6P8MJKo2eOErGAftj8wlGy,18797,,,,,,,
1001 arabian nights tekkno,1001 arabian nights tekkno,GX8LE2225583,5CurMa32rBFVzYnJul7XvZ,https://open.spotify.com/track/5CurMa32rBFVzYnJul7XvZ,61492,,,,,,,
